spaceR, spaceL, weightR, weightL, timeR, timeL, flowR, flowL, Class
1.1495,1.1748,0.3758,0.8628,0.0062,0.0054,0.0129,0.0042,OE-
1.1538,1.1264,1.1762,2.3599,0.0030,0.0022,0.0100,0.0118,OE+
1.1209,1.1085,2.7294,1.7959,0.0137,0.0094,0.0207,0.0360,NCA-
1.1251,1.1120,0.7195,1.7149,0.0015,0.0029,0.0012,0.0039,NCA+
1.1097,1.1027,0.9730,2.7020,0.0110,0.0121,0.0023,0.0078,NCA-
1.0963,1.1243,1.3063,2.1513,0.0057,0.0042,0.0034,0.0056,NCA+
1.0895,1.1397,0.5763,0.3405,0.0024,0.0019,0.0036,0.0033,Ne
1.1280,1.1271,0.1573,0.1895,0.0028,0.0012,0.0029,0.0026,OE-
1.1566,1.1448,0.1604,0.1954,0.0051,0.0028,0.0004,0.0097,OE+
1.1554,1.1190,0.2023,0.3395,0.0103,0.0105,0.0030,0.0085,NCA-
1.1240,1.1379,0.5734,0.7567,0.0034,0.0042,0.0061,0.0039,NCA+
1.1288,1.1812,0.2592,0.8302,0.0055,0.0052,0.0029,0.0048,OE-
1.0480,1.0964,0.5525,0.8690,0.0091,0.0112,0.0127,0.0283,OE+
1.0631,1.0752,0.6854,0.7212,0.0019,0.0019,0.0037,0.0039,NCA-
1.1284,1.1271,0.3850,0.4410,0.0022,0.0029,0.0042,0.0128,NCA+
1.0866,1.0807,0.1655,0.2760,0.0023,0.0039,0.0073,0.0070,NCA-
1.0691,1.0955,0.1296,0.1345,0.0021,0.0025,0.0011,0.0044,NCA+
1.0583,1.1145,1.3246,0.4376,0.0008,0.0012,0.0043,0.0006,Ne
1.1127,1.1290,0.4175,0.6816,0.0039,0.0012,0.0063,0.0024,OE-
1.1203,1.1258,0.1724,0.6401,0.0028,0.0021,0.0013,0.0080,OE+
1.0931,1.1006,0.6824,1.7708,0.0021,0.0024,0.0102,0.0027,NCA-
1.1606,1.1157,0.1602,1.7766,0.0008,0.0006,0.0024,0.0008,NCA+
1.1825,1.1379,0.0601,0.4150,0.0018,0.0009,0.0034,0.0006,OE-
1.0414,1.0574,3.9979,1.7346,0.0037,0.0075,0.0494,0.0725,OE+
1.1048,1.0992,0.3657,0.8235,0.0002,0.0014,0.0002,0.0015,NCA-
1.1334,1.1235,0.4333,0.5387,0.0012,0.0012,0.0048,0.0042,NCA+
1.0972,1.1613,0.4365,0.6585,0.0014,0.0019,0.0049,0.0048,NCA-
1.0947,1.1387,0.2812,0.7328,0.0003,0.0013,0.0023,0.0031,NCA+
