abdomenTwist,chestBend,headBend,lShoulderAbduct,rShoulderAbduct,lShoulderSwing,rShoulderSwing,lElbowBend,rElbowBend,Class
24.8047,41.4769,42.4918,-2.5277,1.5680,-0.2614,4.0247,8.0311,-8.3786,NCA-
25.3101,41.6336,40.6597,-1.4370,2.3907,0.7449,7.8055,2.4963,-3.5447,NCA+
25.4160,41.5047,42.1725,-1.5807,2.4563,0.1214,6.5659,10.0812,-9.9783,OE-
24.5324,43.1101,42.4178,1.5178,1.1636,3.5504,9.5958,14.3388,-15.2302,OE+
24.6099,40.5881,42.1356,-3.3130,2.1581,-1.2269,3.4632,5.3484,-1.0336,NCA-
24.2828,41.6022,42.0019,-2.7100,-0.5756,0.6793,2.1400,4.7424,-5.7780,NCA+
24.3866,42.2469,42.6386,-26.6823,34.6612,11.0981,27.3940,25.1835,-11.9225,NCA-
25.5287,40.0828,41.5589,-2.3068,1.4306,-3.4539,0.9363,2.5567,-3.2110,NCA+
23.4767,40.8528,42.0535,-10.6482,7.1393,3.5986,8.2421,12.0822,-10.9772,Ne
-24.6344,-41.0529,-41.3894,2.0375,-1.1544,0.0331,-4.7442,-2.3577,3.6397,OE-
24.3639,41.3243,42.4177,-3.5977,5.3933,0.5415,6.5285,4.9328,-4.2650,OE+
25.0735,41.2194,42.4205,-5.7816,6.5262,1.0056,8.5847,10.1852,-8.5186,NCA-
25.0837,40.8542,42.5527,-2.2773,-0.9468,0.6965,2.8823,4.1150,-5.1231,NCA+
23.7740,40.6770,42.4869,-5.5273,2.3236,-0.7723,4.8898,3.5328,-4.4994,OE-
25.4868,41.8356,41.1102,-1.4276,3.0496,3.6690,6.9691,1.9459,-1.1457,OE+
24.5248,40.8942,41.5854,-4.0680,1.5130,-1.5290,5.1210,4.2560,-4.0127,NCA-
25.1025,40.3589,41.7463,-0.3713,2.4619,-2.8039,1.2221,3.0908,-1.4966,NCA+
26.1057,40.7691,41.9915,0.0937,2.5859,-1.7962,2.8875,3.9690,-4.4711,NCA-
24.9319,40.7147,41.5923,-2.3087,4.0171,-1.6986,3.0200,3.1484,-2.4520,NCA+
24.8251,41.0970,42.8913,-1.6185,-0.7340,0.2439,1.3237,5.2809,-7.3038,Ne
26.3203,40.5703,42.1602,-2.2080,3.2437,-1.6180,-0.7196,2.1311,-4.8325,OE-
25.1406,41.8583,42.3465,-2.9647,0.8825,2.1558,4.2890,7.2493,-10.6993,OE+
24.6808,41.5045,42.1896,-2.7716,-0.6428,-0.2362,2.7854,4.1265,-4.9885,NCA-
25.8805,41.0893,41.9304,2.3444,1.0030,-1.0241,6.6330,8.7299,-9.8971,NCA+
23.9963,41.5321,42.9522,-1.2832,1.1472,-0.7257,4.2560,8.6620,-11.2427,OE-
25.0363,43.7397,42.2995,-0.1322,2.9656,5.7964,16.2531,15.1588,-16.4822,OE+
25.0296,41.5223,43.0268,-2.4911,1.0622,-0.1963,3.1123,3.6683,-5.6504,NCA-
25.4567,39.8077,41.9213,-2.8463,2.9655,-0.5824,7.1428,7.6498,-9.2724,NCA+
25.3407,41.0331,41.4307,0.5210,0.2201,-1.6230,1.0546,3.5074,-4.4350,NCA-
25.3521,41.2231,42.5893,-4.8041,6.3986,1.3187,6.6750,5.4358,-6.3058,NCA+
24.6074,41.2233,41.5205,-8.6248,2.1850,5.1892,0.4901,6.5506,-4.2255,Ne
25.1348,40.9347,42.7526,-5.6602,3.2503,0.0885,2.5482,2.2661,-5.0529,OE-
24.3123,40.3784,41.8069,-6.7981,1.6275,0.9374,0.2519,3.3746,-3.6109,OE+
24.5673,41.1565,41.2882,-3.1125,0.7837,-0.3461,0.3515,6.2668,-7.4124,NCA-
24.8723,40.7572,41.8805,-4.2201,1.5881,-0.8533,3.5319,2.0975,-3.8809,NCA+
24.4282,41.2894,41.2821,-5.4525,2.7534,-0.0317,4.0593,2.7173,-5.3090,OE-
25.7145,40.7532,41.4793,-1.8161,2.3860,-2.7340,2.2172,2.0071,-2.5724,OE+
25.0155,41.0711,43.0885,-7.1977,4.8888,3.7154,4.7609,4.5606,-3.9109,NCA-
25.0592,40.3328,41.0739,-2.2619,0.1863,-3.5397,0.0225,1.4013,-1.8198,NCA+
25.1268,41.1249,41.1609,-1.9507,2.0235,-0.3067,3.2448,0.3981,-2.3606,NCA-
24.7855,41.2964,40.9683,-2.1522,2.1726,-1.2245,4.4941,2.6769,-3.7854,NCA+
